,price,type,address,url,postcode,number_bedrooms,search_date
0,2275,2 bedroom apartment,"King Edward's Road, London, E9",http://www.rightmove.co.uk/property-to-rent/property-61900397.html,E9,2,07/10/2016
1,1387,1 bedroom apartment,"Massie Road,E8 1BY",http://www.rightmove.co.uk/property-to-rent/property-61594598.html,E8,1,07/10/2016
2,1278,Studio flat,"Dalston Lane, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-44745921.html,E8,0,07/10/2016
3,1430,1 bedroom flat,"Queensbridge Road, Dalston, E8",http://www.rightmove.co.uk/property-to-rent/property-44735163.html,E8,1,07/10/2016
4,1300,1 bedroom flat,"Mare Street, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62368772.html,E8,1,07/10/2016
5,1777,2 bedroom flat,"Reading Lane,London,E8",http://www.rightmove.co.uk/property-to-rent/property-18081284.html,E8,2,07/10/2016
6,2773,2 bedroom apartment,"Charles Hayward Building, Goldsmiths Row, London, E2",http://www.rightmove.co.uk/property-to-rent/property-62366243.html,E2,2,07/10/2016
7,3195,3 bedroom apartment,Electric Lofts 9-11 London Lane,http://www.rightmove.co.uk/property-to-rent/property-44719938.html,,3,07/10/2016
8,1603,1 bedroom flat,"Kay Street, Bethnal Green",http://www.rightmove.co.uk/property-to-rent/property-56396275.html,,1,07/10/2016
9,1668,1 bedroom ground maisonette,"Hackney Road, London",http://www.rightmove.co.uk/property-to-rent/property-62351612.html,,1,07/10/2016
10,2275,2 bedroom apartment,"Vibe, Beechwood Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56394793.html,E8,2,07/10/2016
11,1733,1 bedroom apartment,"Vibe, Beechwood Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56394787.html,E8,1,07/10/2016
12,1842,1 bedroom flat,"Gloucester Square, Whiston Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-44330919.html,,1,07/10/2016
13,1885,2 bedroom maisonette,"Graham Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56137480.html,E8,2,07/10/2016
14,1408,1 bedroom flat,"Brougham Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-45330775.html,,1,07/10/2016
15,1775,3 bedroom flat,"Graham Road, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-53053952.html,E8,3,07/10/2016
16,1850,2 bedroom flat,"Queensbridge Road, London, Hackney, E2",http://www.rightmove.co.uk/property-to-rent/property-62337491.html,E2,2,07/10/2016
17,3250,3 bedroom apartment,"Goldsmiths Row, London, E2",http://www.rightmove.co.uk/property-to-rent/property-56381410.html,E2,3,07/10/2016
18,2990,3 bedroom detached house,"Navarino Road, Dalston, LONDON, E8",http://www.rightmove.co.uk/property-to-rent/property-43639377.html,E8,3,07/10/2016
19,1668,1 bedroom flat,"Hackney Road, Hoxton",http://www.rightmove.co.uk/property-to-rent/property-62323781.html,,1,07/10/2016
20,1603,1 bedroom flat,"Elizabeth Mews, Kay Street, Hackney",http://www.rightmove.co.uk/property-to-rent/property-62323778.html,,1,07/10/2016
21,1603,1 bedroom flat,"Kay Street, Bethnal Green",http://www.rightmove.co.uk/property-to-rent/property-62323193.html,,1,07/10/2016
22,1603,2 bedroom flat,"Camerton Close, Dalston, E8",http://www.rightmove.co.uk/property-to-rent/property-44695656.html,E8,2,07/10/2016
23,2383,2 bedroom flat,"Colonnades Apartments, 35 Sylvester Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56200552.html,E8,2,07/10/2016
24,2037,2 bedroom apartment,"Whiston Road, London, E2",http://www.rightmove.co.uk/property-to-rent/property-62275232.html,E2,2,07/10/2016
25,2275,2 bedroom apartment,"King Edward's Road, London, E9",http://www.rightmove.co.uk/property-to-rent/property-61900397.html,E9,2,07/10/2016
26,1560,1 bedroom flat,"Greenwood Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44688675.html,E8,1,07/10/2016
27,1668,1 bedroom apartment,"Hackney Road, London, E2",http://www.rightmove.co.uk/property-to-rent/property-62313065.html,E2,1,07/10/2016
28,2730,2 bedroom penthouse,"Sidworth Street, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62309900.html,E8,2,07/10/2016
29,1430,1 bedroom flat,"Queensbridge Road, Dalston",http://www.rightmove.co.uk/property-to-rent/property-56367082.html,,1,07/10/2016
30,1993,2 bedroom apartment,"48-50 Well Street, Hackney, London, E9",http://www.rightmove.co.uk/property-to-rent/property-43865103.html,E9,2,07/10/2016
31,2708,3 bedroom apartment,"Adelaide Wharf, E2",http://www.rightmove.co.uk/property-to-rent/property-62287268.html,E2,3,07/10/2016
32,3033,1 bedroom property,"Ada Street, London",http://www.rightmove.co.uk/property-to-rent/property-56069026.html,,1,07/10/2016
33,1842,2 bedroom flat,"Graham Road, Hackney, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44680542.html,E8,2,07/10/2016
34,3033,1 bedroom flat,"Ada Street, London",http://www.rightmove.co.uk/property-to-rent/property-56352217.html,,1,07/10/2016
35,2058,1 bedroom flat,Beechwood Road Dalston E8,http://www.rightmove.co.uk/property-to-rent/property-62279051.html,E8,1,07/10/2016
36,1550,1 bedroom flat,"Hacon Square, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44677776.html,E8,1,07/10/2016
37,2400,3 bedroom flat,"Royal Oak Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62277122.html,E8,3,07/10/2016
38,1863,2 bedroom flat,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62275859.html,E8,2,07/10/2016
39,1699,2 bedroom flat,"London Fields East Side, London E8",http://www.rightmove.co.uk/property-to-rent/property-56156605.html,E8,2,07/10/2016
40,1517,1 bedroom flat,"Graham Road, London, E8 ",http://www.rightmove.co.uk/property-to-rent/property-44667753.html,E8,1,07/10/2016
41,1798,2 bedroom flat,"Shore Place, Hackney,  E9",http://www.rightmove.co.uk/property-to-rent/property-44662740.html,E9,2,07/10/2016
42,1668,1 bedroom flat,"Hackney Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-44661828.html,,1,07/10/2016
43,1733,1 bedroom apartment,"Mare Street, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62254115.html,E8,1,07/10/2016
44,1777,2 bedroom flat,"Mare Street, London Fields, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44656344.html,E8,2,07/10/2016
45,2925,4 bedroom apartment,"Samuel Close, Pownall Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62101604.html,E8,4,07/10/2016
46,2275,2 bedroom flat,"Martello Street, Hackney",http://www.rightmove.co.uk/property-to-rent/property-56327134.html,,2,07/10/2016
47,1863,2 bedroom flat,"Florfield Passage, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56326642.html,E8,2,07/10/2016
48,2730,2 bedroom flat,"Sidworth Street, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44648952.html,E8,2,07/10/2016
49,1603,1 bedroom flat,"Elizabeth Mews, Kay Street, Shoreditch",http://www.rightmove.co.uk/property-to-rent/property-44645436.html,,1,07/10/2016
50,1900,2 bedroom flat,"Regents Court, Haggerston, E8",http://www.rightmove.co.uk/property-to-rent/property-56317357.html,E8,2,07/10/2016
51,4117,4 bedroom flat,"Richmond Road, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-56317354.html,E8,4,07/10/2016
52,5850,4 bedroom flat,"Richmond Road, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-56317351.html,E8,4,07/10/2016
53,2990,3 bedroom maisonette,"Navarino Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-61598150.html,E8,3,07/10/2016
54,2990,4 bedroom maisonette,"Navarino Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56032627.html,E8,4,07/10/2016
55,1550,2 bedroom flat,"Sylvester Road, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-41930908.html,E8,2,07/10/2016
56,3250,3 bedroom property,"Fuse Apartments, Beechwood Road, Dalston, E8",http://www.rightmove.co.uk/property-to-rent/property-44626707.html,E8,3,07/10/2016
57,1499,1 bedroom flat,"Mare Street, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62194715.html,E8,1,07/10/2016
58,2492,3 bedroom apartment,"Martello Street, E8",http://www.rightmove.co.uk/property-to-rent/property-44610189.html,E8,3,07/10/2016
59,2059,1 bedroom flat,"The Vibe, Dalston, E8",http://www.rightmove.co.uk/property-to-rent/property-62180324.html,E8,1,07/10/2016
60,2700,3 bedroom maisonette,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44581755.html,E8,3,07/10/2016
61,2427,2 bedroom flat,"Goldsmiths Row, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44220945.html,E2,2,07/10/2016
62,1473,1 bedroom flat,"Dinmont House,  Pritchards Road,  London",http://www.rightmove.co.uk/property-to-rent/property-62134907.html,,1,07/10/2016
63,1928,1 bedroom apartment,"Broadway Market, London, E8",http://www.rightmove.co.uk/property-to-rent/property-62348486.html,E8,1,07/10/2016
64,1668,1 bedroom flat,"Hackney Road, Bethnal Green",http://www.rightmove.co.uk/property-to-rent/property-62129273.html,,1,07/10/2016
65,1473,1 bedroom flat,"Aldwych Court, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-44577702.html,E8,1,07/10/2016
66,2687,2 bedroom flat,"Goldsmiths Row, London",http://www.rightmove.co.uk/property-to-rent/property-56243182.html,,2,07/10/2016
67,3250,3 bedroom flat,"Goldsmiths Row, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44564304.html,E2,3,07/10/2016
68,1430,1 bedroom apartment,"Tudor Road, London, E9",http://www.rightmove.co.uk/property-to-rent/property-62101622.html,E9,1,07/10/2016
69,1582,1 bedroom flat,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44513550.html,E8,1,07/10/2016
70,1625,1 bedroom flat,"Elizabeth Mews, Kay Street, Broadway Market, E2",http://www.rightmove.co.uk/property-to-rent/property-62093708.html,E2,1,07/10/2016
71,1733,2 bedroom flat,London Fields E8,http://www.rightmove.co.uk/property-to-rent/property-62089250.html,E8,2,07/10/2016
72,2167,2 bedroom flat,"King Edwards Road, London Fields, E9",http://www.rightmove.co.uk/property-to-rent/property-56216254.html,E9,2,07/10/2016
73,1842,2 bedroom flat,"Richmond Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-40759839.html,E8,2,07/10/2016
74,1712,1 bedroom flat,"Richmond Road, London",http://www.rightmove.co.uk/property-to-rent/property-56122924.html,,1,07/10/2016
75,1907,1 bedroom flat,"Richmond Road, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-56193466.html,E8,1,07/10/2016
76,1668,1 bedroom flat,"Hackney Road, Bethnal Green",http://www.rightmove.co.uk/property-to-rent/property-56187070.html,,1,07/10/2016
77,2210,2 bedroom apartment,"6 Lansdowne Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-61894769.html,,2,07/10/2016
78,1473,1 bedroom apartment,Massie Road E8 1BY,http://www.rightmove.co.uk/property-to-rent/property-52112443.html,E8,1,07/10/2016
79,2687,2 bedroom apartment,"Mettle and Poise, Goldsmiths Row, London, E2",http://www.rightmove.co.uk/property-to-rent/property-56173585.html,E2,2,07/10/2016
80,1517,1 bedroom apartment,"Noble House, Hackney Central, E8",http://www.rightmove.co.uk/property-to-rent/property-56168308.html,E8,1,07/10/2016
81,1668,1 bedroom apartment,Hackney Road Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56166913.html,E2,1,07/10/2016
82,1733,2 bedroom flat,"Albery Court, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-44029641.html,E8,2,07/10/2016
83,1990,2 bedroom maisonette,"Elmbridge Walk, Blackstone Estate, London, E8 3HA",http://www.rightmove.co.uk/property-to-rent/property-56165173.html,E8,2,07/10/2016
84,1625,1 bedroom apartment,Kay Street Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56164168.html,E2,1,07/10/2016
85,1603,1 bedroom apartment,Kay Street Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56163967.html,E2,1,07/10/2016
86,1668,1 bedroom apartment,"Hackney Road, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-56163289.html,E2,1,07/10/2016
87,2495,3 bedroom apartment,"Tudor Grove, Bethnal Green, London, E9",http://www.rightmove.co.uk/property-to-rent/property-44428233.html,E9,3,07/10/2016
88,1777,2 bedroom flat,"Middleton Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44427864.html,E8,2,07/10/2016
89,1517,1 bedroom flat,"Graham Road, London, E8 ",http://www.rightmove.co.uk/property-to-rent/property-44427690.html,E8,1,07/10/2016
90,3012,3 bedroom terraced house,"Wilton Way, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-44427387.html,E8,3,07/10/2016
91,1668,1 bedroom flat,"Hackney Road, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-62015654.html,E2,1,07/10/2016
92,1668,1 bedroom apartment,"Hackney Road,London,E2",http://www.rightmove.co.uk/property-to-rent/property-39378710.html,E2,1,07/10/2016
93,2275,3 bedroom flat,"Classic Mansions, Well Street, London",http://www.rightmove.co.uk/property-to-rent/property-56150788.html,,3,07/10/2016
94,1473,1 bedroom flat,"Pendley House, Whiston Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-56149855.html,,1,07/10/2016
95,1625,1 bedroom flat,"Elizabeth Mews Kay Street,  Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44381775.html,E2,1,07/10/2016
96,1430,1 bedroom flat,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-61971236.html,E8,1,07/10/2016
97,1950,3 bedroom flat,"Greenwood Road, London",http://www.rightmove.co.uk/property-to-rent/property-56124691.html,,3,07/10/2016
98,1668,1 bedroom flat,"Greater London, Hackney Road, E2",http://www.rightmove.co.uk/property-to-rent/property-44376069.html,E2,1,07/10/2016
99,1300,1 bedroom flat,"Cambridge Heath Road, Bethnal Green, London, E2 9BU",http://www.rightmove.co.uk/property-to-rent/property-44375985.html,E2,1,07/10/2016
100,1668,1 bedroom property,"Shoreditch, Hackney Road, E2",http://www.rightmove.co.uk/property-to-rent/property-44374527.html,E2,1,07/10/2016
101,1279,1 bedroom flat,"Sylvester Road, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-54917596.html,E8,1,07/10/2016
102,2167,2 bedroom apartment,"King Edwards Road, Hackney, E9",http://www.rightmove.co.uk/property-to-rent/property-61948982.html,E9,2,07/10/2016
103,2383,2 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61971599.html,,2,07/10/2016
104,2383,2 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61941701.html,,2,07/10/2016
105,2058,2 bedroom apartment,"Martello Street, London Fields, Hackney",http://www.rightmove.co.uk/property-to-rent/property-61938848.html,,2,07/10/2016
106,1712,2 bedroom flat,"Wharf Place, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44339892.html,E2,2,07/10/2016
107,2275,2 bedroom apartment,"King Edward's Road, London, E9",http://www.rightmove.co.uk/property-to-rent/property-61900397.html,E9,2,07/10/2016
108,1603,1 bedroom apartment,"Elizabeth Mews, Kay Street, Shoreditch, E2",http://www.rightmove.co.uk/property-to-rent/property-61896962.html,E2,1,07/10/2016
